${0},,
${0} ${1} already exists.,${0} ${1} ya existe.,
${0} ${1} does not exist,${0} ${1} no existe.,
${0} ${1} has been modified after loading please reload entry.,"${0} ${1} ha sido modificado después de cargar, por favor recargue la entrada.",
${0} ${1} is linked with existing records.,${0} ${1} está vinculado con registros existentes.,
${0} account not set in Inventory Settings.,${0} cuenta no configurada en Configuración de Inventario.,
${0} already saved,${0} ya guardado.,
${0} already submitted,${0} ya enviado.,
${0} cancelled,${0} cancelado.,
${0} cannot be cancelled,${0} no se puede cancelar.,
${0} cannot be deleted,${0} no se puede eliminar.,
${0} deleted,${0} eliminado.,
${0} entries failed,${0} entradas fallidas.,
${0} entries imported,${0} entradas importadas.,
${0} entry failed,${0} entrada fallida.,
${0} entry imported,${0} entrada importada.,
${0} fields selected,${0} campos seleccionados.,
${0} filters applied,${0} filtros aplicados.,
${0} has linked child accounts.,${0} tiene cuentas hijas vinculadas.,
${0} of type ${1} does not exist,${0} de tipo ${1} no existe.,
${0} out of ${1},${0} de ${1}.,
${0} party ${1} is different from ${2},${0} parte ${1} es diferente de ${2}.,
${0} quantity 1 added.,${0} cantidad 1 añadida.,
${0} row added.,${0} fila añadida.,
${0} rows,${0} filas.,
${0} rows added.,${0} filas añadidas.,
${0} saved,${0} guardado.,
${0} shortcuts,${0} atajos.,
${0} stored at ${1},${0} almacenado en ${1}.,
${0} submitted,${0} enviado.,
${0} value ${1} does not exist.,${0} valor ${1} no existe.,
0%,0%,
03-23-2022,23-03-2022,
03/23/2022,23/03/2022,
1 filter applied,1 filtro aplicado.,
2022-03-23,2022-03-23,
"23 Mar, 2022","23 Mar, 2022",
23-03-2022,23-03-2022,
23.03.2022,23.03.2022,
23/03/2022,23/03/2022,
9888900000,9888900000,
A submittable entry is deleted only if it is in the cancelled state.,Una entrada enviable se elimina solo si está en estado cancelado.,
Account,Cuenta,
Account ${0} does not exist.,Cuenta ${0} no existe.,
Account Entries,Entradas de Cuenta,
Account Name,Nombre de Cuenta,
Account Type,Tipo de Cuenta,
Accounting,Contabilidad,
Accounting Entries,Entradas Contables,
Accounting Ledger Entry,Entrada del Libro Mayor Contable,
Accounting Settings,Configuración Contable,
Accounts,Cuentas,
Accounts Payable,Cuentas por Pagar,
Accounts Receivable,Cuentas por Cobrar,
Accumulated Depreciation,Depreciación Acumulada,
Action,Acción,
Active,Activo,
Add Account,Añadir Cuenta,
Add Customers,Añadir Clientes,
Add Group,Añadir Grupo,
Add Items,Añadir Artículos,
Add Row,Añadir Fila,
Add Suppliers,Añadir Proveedores,
Add Taxes,Añadir Impuestos,
Add a few customers to create your first sales invoice,Añadir algunos clientes para crear tu primera factura de venta.,
Add a few suppliers to create your first purchase invoice,Añadir algunos proveedores para crear tu primera factura de compra.,
Add a filter,Añadir un filtro.,
Add a remark,Añadir un comentario.,
Add attachment,Añadir adjunto.,
Add invoice terms,Añadir términos de factura.,
Add products or services that you buy from your suppliers,Añadir productos o servicios que compras a tus proveedores.,
Add products or services that you sell to your customers,Añadir productos o servicios que vendes a tus clientes.,
Add transfer terms,Añadir términos de transferencia.,
Add'l Discounts,Descuentos Adicionales,
Additional ${0} Serial Numbers required for ${1} quantity of ${2}.,Números de Serie Adicionales ${0} requeridos para ${1} cantidad de ${2}.,
Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4},Cantidad adicional (${0}) requerida${1} para hacer la transferencia de salida del artículo ${2} desde ${3} en ${4}.,
Address,Dirección,
Address Display,Mostrar Dirección,
Address Line 1,Línea de Dirección 1,
Address Line 2,Línea de Dirección 2,
Address Name,Nombre de Dirección,
Administrative Expenses,Gastos Administrativos,
All,Todo,
Amount,Monto,
Amount Paid,Monto Pagado,
Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.,Monto: ${0} y cancelación: ${1} es menor que el monto total asignado a referencias: ${2}.,
Amount: ${0} is less than the total amount allocated to references: ${1}.,Monto: ${0} es menor que el monto total asignado a referencias: ${1}.,
Amounts,Montos,
An entry is cancelled only if it is in the submitted state.,Una entrada se cancela solo si está en estado enviado.,
An entry is submitted only if it is submittable and is in the saved state.,Una entrada se envía solo si es enviable y está en estado guardado.,
An error occurred.,Ocurrió un error.,
Applicable anywhere in Frappe Books,Aplicable en cualquier lugar de Frappe Books.,
Applicable when Quick Search is open,Aplicable cuando la Búsqueda Rápida está abierta.,
Applicable when Template Builder is open,Aplicable cuando el Constructor de Plantillas está abierto.,
Applicable when a entry is open in the Form view or Quick Edit view,Aplicable cuando una entrada está abierta en la vista de Formulario o Edición Rápida.,
Applicable when the List View of an entry type is open,Aplicable cuando la Vista de Lista de un tipo de entrada está abierta.,
Application of Funds (Assets),Aplicación de Fondos (Activos),
Apply Discount After Tax,Aplicar Descuento Después de Impuestos,
Apply and view changes made to the print template,Aplicar y ver los cambios realizados en la plantilla de impresión.,
April,Abril,
Arial,Arial,
Ascending Order,Orden Ascendente,
Asset,Activo,
Attach Image,Adjuntar Imagen,
Attachment,Adjunto,
August,Agosto,
Auto Payments,Pagos Automáticos,
Auto Stock Transfer,Transferencia Automática de Inventario,
Autocomplete,Autocompletar,
Back,Atrás,
Back Reference,Referencia Posterior,
"Bad import data, could not read file.","Datos de importación incorrectos, no se pudo leer el archivo.",
Balance,Balance,
Balance Amount,Monto del Balance,
Balance Sheet,Balance General,
Bank,Banco,
Bank Accounts,Cuentas Bancarias,
Bank Entry,Entrada Bancaria,
Bank Name,Nombre del Banco,
Bank Overdraft Account,Cuenta de Sobregiro Bancario,
Barcode,Código de Barras,
Base Grand Total,Total Base,
Based On,Basado En,
Batch,Lote,
Batch not set for row ${0}.,Lote no configurado para la fila ${0}.,
Batch set for row ${0}.,Lote configurado para la fila ${0}.,
Bill Created,Factura Creada,
Billing,Facturación,
Black,Negro,
Blue,Azul,
Both,Ambos,
Both From and To Location cannot be undefined,Ambas Ubicaciones de Origen y Destino no pueden estar indefinidas.,
Buildings,Edificios,
Cancel,Cancelar,
Cancel ${0}?,¿Cancelar ${0}?,
Cancel or Delete an entry.,Cancelar o Eliminar una entrada.,
Cancelled,Cancelado,
Cannot Commit Error,Error al Confirmar,
Cannot Delete,No se Puede Eliminar,
Cannot Delete Account,No se Puede Eliminar la Cuenta,
Cannot Export,No se Puede Exportar,
Cannot Import,No se Puede Importar,
Cannot Open File,No se Puede Abrir el Archivo,
Cannot cancel ${0} ${1} because of the following ${2}: ${3},No se puede cancelar ${0} ${1} debido a lo siguiente ${2}: ${3},
Cannot cancel ${0} because of the following ${1}: ${2},No se puede cancelar ${0} debido a lo siguiente ${1}: ${2},
"Cannot delete ${0} ""${1}"" because of linked entries.","No se puede eliminar ${0} ""${1}"" debido a entradas vinculadas.",
Cannot open file,No se puede abrir el archivo,
Cannot perform operation.,No se puede realizar la operación.,
Cannot read file,No se puede leer el archivo,
Capital Equipments,Equipos de Capital,
Capital Stock,Capital Social,
Cash,Efectivo,
Cash Denominations,Denominaciones de Efectivo,
Cash Entry,Entrada de Efectivo,
Cash In Hand,Efectivo en Mano,
Cashflow,Flujo de Caja,
Central Tax,Impuesto Central,
Change DB,Cambiar Base de Datos (DB),
Change File,Cambiar Archivo,
Change Ref Type,Cambiar Tipo de Referencia,
Changes made to settings will be visible on reload.,Los cambios realizados en la configuración serán visibles al recargar.,
Chargeable,Cobrable,
Chart Of Accounts Reviewed,Plan de Cuentas Revisado,
Chart of Accounts,Plan de Cuentas,
Check,Cheque,
Cheque,Cheque,
City / Town,Ciudad / Pueblo,
Clear,Limpiar,
Clearance Date,Fecha de Despacho,
Close,Cerrar,
Close Frappe Books and try manually.,Cerrar Frappe Books e intentar manualmente.,
Close POS Shift,Cerrar Turno de POS,
Close Quick Search,Cerrar Búsqueda Rápida,
Closing,Cierre,
Closing ${0} Amount can not be negative.,El Monto de Cierre ${0} no puede ser negativo.,
Closing (Cr),Cierre (Cr),
Closing (Dr),Cierre (Dr),
Closing Amount,Monto de Cierre,
Closing Cash In Denominations,Cierre de Efectivo en Denominaciones,
Closing Date,Fecha de Cierre,
Collapse,Colapsar,
Color,Color,
Commission on Sales,Comisión sobre Ventas,
Common,Común,
Company,Compañía,
Company Logo,Logo de la Compañía,
Company Name,Nombre de la Compañía,
Company Setup,Configuración de la Compañía,
Completed,Completado,
Condition,Condición,
Consolidate Columns,Consolidar Columnas,
Contacts,Contactos,
Contains,Contiene,
Continue submitting Sales Invoice?,¿Continuar enviando la Factura de Venta?,
Contra Entry,Entrada de Contra,
Conversion Error,Error de Conversión,
Conversion Factor,Factor de Conversión,
Cost Of Goods Sold Acc.,Costo de los Bienes Vendidos Acc.,
Cost of Goods Sold,Costo de los Bienes Vendidos,
"Could not connect to database file ${0}, please select the file manually","No se pudo conectar al archivo de base de datos ${0}, por favor seleccione el archivo manualmente.",
Count,Contar,
Counter Cash Account,Cuenta de Efectivo en Caja,
Country,País,
Country Code,Código de País,
Country code used to initialize regional settings.,Código de país utilizado para inicializar la configuración regional.,
Courier,Mensajero,
Cr.,Cr.,
Cr. ${0},Cr. ${0},
Create,Crear,
Create Demo,Crear Demo,
Create Purchase,Crear Compra,
Create Purchase Invoice,Crear Factura de Compra,
Create Sale,Crear Venta,
Create Sales Invoice,Crear Factura de Venta,
Create a demo company to try out Frappe Books,Crear una empresa de demostración para probar Frappe Books,
Create a new company and store it on your computer,Crear una nueva empresa y almacenarla en tu computadora,
Create a new company or select an existing one from your computer,Crear una nueva empresa o seleccionar una existente desde tu computadora,
Create a new entry of the same type as the List View,Crear una nueva entrada del mismo tipo que la Vista de Lista,
Create new ${0} entry?,¿Crear nueva entrada ${0}?,
Create your first purchase invoice from the created supplier,Crear tu primera factura de compra del proveedor creado,
